id_bien;numero_voie;type_voie;voie;surface_carrez;type_local;nombre_pieces;code_departement;code_commune
1;190;RUE;CENTRALE;50.42;Appartement;2;01;350
2;347;RUE;DU CHATEAU;48.22;Appartement;3;01;103
3;58;AV;DU MONT BLANC;130.8;Appartement;6;01;143
4;140;RUE;DE L'ABBE JOLIVET;109.22;Maison;5;01;288
5;39;RUE;BUFFON;108.65;Appartement;4;01;033
6;28;AV;JEAN FALCONNIER;31.65;Appartement;2;01;138
7;8;RUE;DE GENEVE;52.58;Appartement;2;01;354
8;2;RUE;DU RECULET;58.71;Appartement;2;01;354
9;1403;RUE;JEAN DE GINGINS;93.23;Maison;4;01;143
10;226;ALL;DES CAPUCINES;117;Maison;5;01;354
11;276;RTE;DE POUGNY;35.6;Appartement;2;01;288
12;79;CRS;DE VERDUN;138.03;Appartement;5;01;283
13;77;RUE;DU COMMERCE;42;Appartement;2;01;357
14;240;RUE;DE PRE BAILLY;45.36;Appartement;2;01;173
15;3;RUE;TURENNE;82.6;Appartement;4;01;033
16;44;ALL;DU SQUARE DE LAUSANNE;88.11;Appartement;4;01;143
17;59;RUE;ALEXANDRE BERARD;164.87;Appartement;6;01;004
18;282;CHE;DES LONGES RAYES;42.2;Appartement;2;01;071
19;54;GR;GRANDE RUE;68.11;Appartement;3;01;396
20;1;RUE;DE GEX;82.59;Appartement;3;01;160
21;17;LOT;LES JARDINS DE CHEVRY;30.23;Appartement;1;01;103
22;329;RUE;DES CARPIERES;24.8;Appartement;1;01;399
23;369;AV;CHARLES DE GAULLE;52.6;Appartement;2;01;202
24;154;RUE;SUR LA VIGNETTE;91.69;Appartement;3;01;204
25;6;RUE;DES USINIERS;45.54;Appartement;1;01;173
26;2;RUE;DU JURA;84.24;Appartement;3;01;354
27;54;RUE;MARCEL DEMIA;68.23;Appartement;3;01;004
28;269;CHE;DE CHARIGNIN;62.03;Appartement;3;01;034
29;322;RUE;DE BRETIGNY;112.93;Maison;4;01;281
30;132;ALL;DES HETRES;131.91;Appartement;4;01;354
31;80;RUE;DE MEYRIN;63.58;Appartement;3;01;160
32;4;RUE;DE LA MAIRIE;35.86;Appartement;3;01;138
33;79;GR;GRANDE RUE DE BULLIEZ;70.09;Appartement;3;01;202
34;8;RUE;DE LA BIENNE;200;Appartement;4;01;148
35;29;RUE;REINE CLOTILDE;54.84;Appartement;2;01;004
36;3;RUE;STE MARIE;72.75;Appartement;4;01;034
37;956;RTE;DE BOURG;94.09;Maison;2;01;202
38;1;AV;DU BIJOU;71.08;Appartement;3;01;160
39;58;CHE;DE LA PLANCHE BRULEE;97.03;Maison;4;01;160
40;211;RUE;CHANTEPIE;44.48;Appartement;2;01;313
41;25;RUE;DE LA ROCHE SAMUEL;64.21;Appartement;2;01;060
42;25;RUE;DE LA COMMUNE 1871;70.1;Maison;3;01;004
43;6;;DE LA TOUR;76.7;Appartement;4;01;363
44;91;CHE;DE LA PLANCHE BRULEE;133.77;Appartement;4;01;160
45;3;RUE;DU DOCTEUR GREZEL;107.61;Appartement;5;01;269
46;28;RUE;DU DOC CHARCOT;42.78;Appartement;2;01;345
47;312;RUE;DES TERRASSES;124.55;Maison;5;01;419
48;10;RUE;AMPERE;68.11;Appartement;2;01;283
49;1;RUE;GERARD DE NERVAL;70.78;Appartement;3;01;031
50;10;RUE;DES HAUTAINS;112.3;Appartement;5;01;354
51;102;MAIL;DU NEUTRINO;95.43;Maison;4;01;313
52;84;RUE;DE MEYRIN;63.45;Appartement;3;01;160
53;115;RUE;MASONOD;77.3;Appartement;4;01;185
54;812;RUE;DES VERTES CAMPAGNES;164.18;Maison;6;01;173
55;26;CHE;DE LA PLANCHE BRULEE;66.95;Appartement;3;01;160
56;2;RUE;DE CHAMP FUSY;30.62;Appartement;1;01;354
57;53;ALL;DES PRUNUS;165.92;Appartement;5;01;354
58;541;RUE;DES MONTS JURA;51.99;Appartement;2;01;210
59;386;CHE;DES SOUPIRS;63.17;Appartement;3;01;034
60;663;RTE;BLANCHE;84.97;Appartement;3;01;399
61;377;RUE;DES ABATTOIRS;88.7;Appartement;4;01;173
62;60;ALL;DES FRERES CAUDRON;50.64;Appartement;2;01;004
63;86;RUE;DE LA REPUBLIQUE;38;Appartement;1;01;033
64;148;IMP;DU SAUGY;70.53;Appartement;3;01;281
65;77;LOT;CLOS CHAMP VRILLARD;105.68;Maison;6;01;071
66;27;RLE;DE L EGLISE;46.12;Appartement;3;01;173
67;5;PL;DE L EGLISE;37.63;Appartement;2;01;202
68;94;ALL;SIMON VAN DER MEER;87.38;Appartement;4;01;313
69;242;RUE;DE PRE BAILLY;50.33;Appartement;2;01;173
70;8;RTE;DE DIVONNE;134.17;Appartement;4;01;436
