id_vente;date_vente;valeur;id_bien
1;03/02/2020;56000;1
2;02/01/2020;165000;2
3;08/01/2020;720000;3
4;06/01/2020;429250;4
5;07/01/2020;220900;5
6;21/01/2020;42000;6
7;07/01/2020;262000;7
8;08/01/2020;190000;8
9;16/01/2020;563130;9
10;17/01/2020;535000;10
11;16/01/2020;330000;11
12;27/01/2020;110600;12
13;30/01/2020;50000;13
14;09/01/2020;212000;14
15;15/01/2020;160000;15
16;20/01/2020;561550;16
17;28/01/2020;358000;17
18;22/01/2020;220000;18
19;27/01/2020;79300;19
20;06/01/2020;285000;20
21;27/01/2020;123100;21
22;16/01/2020;107500;22
23;30/01/2020;128810;23
24;05/02/2020;31000;24
25;21/01/2020;125000;25
26;31/01/2020;285000;26
27;03/02/2020;140500;27
28;27/01/2020;101050;28
29;31/01/2020;530000;29
30;29/01/2020;486415;30
31;28/01/2020;185000;31
32;16/01/2020;131376;32
33;23/01/2020;155000;33
34;31/01/2020;150000;34
35;03/02/2020;67000;35
36;13/01/2020;114000;36
37;07/02/2020;143850;37
38;23/01/2020;237900;38
39;24/01/2020;425000;39
40;06/02/2020;220000;40
41;07/02/2020;55000;41
42;07/02/2020;164665;42
43;10/02/2020;89000;43
44;06/02/2020;475150;44
45;12/02/2020;132500;45
46;05/02/2020;68000;46
47;30/01/2020;570840;47
48;03/02/2020;135700;48
49;05/02/2020;62500;49
50;03/02/2020;332500;50
51;07/02/2020;428000;51
52;28/01/2020;210000;52
53;12/02/2020;50000;53
54;28/01/2020;592487;54
55;10/02/2020;295000;55
56;12/02/2020;133000;56
57;29/01/2020;580450;57
58;20/02/2020;105500;58
59;04/02/2020;152900;59
60;05/02/2020;352300;60
61;17/02/2020;215000;61
62;14/02/2020;128460;62
63;14/02/2020;90500;63
64;11/02/2020;305500;64
65;18/02/2020;430000;65
66;04/02/2020;152470;66
67;13/02/2020;55000;67
68;18/02/2020;465660.47;68
69;12/02/2020;167550;69
70;11/02/2020;212862;70
71;19/02/2020;54000;71
72;14/02/2020;390000;72
73;24/02/2020;160000;73
74;25/02/2020;156580;74
75;18/02/2020;129258;75
76;28/02/2020;210000;76
77;17/02/2020;189350;77
78;21/02/2020;310000;78
79;25/02/2020;435000;79
80;20/02/2020;505000;80
81;25/02/2020;442100;81
82;17/02/2020;506000;82
83;12/02/2020;292000;83
84;03/03/2020;200000;84
85;27/02/2020;315800;85
86;28/02/2020;167000;86
87;25/02/2020;640000;87
88;28/02/2020;74000;88
89;04/03/2020;232550;89
90;04/03/2020;90000;90
91;09/03/2020;282000;91
92;03/03/2020;152000;92
93;17/03/2020;164000;93
94;05/03/2020;389500;94
95;11/03/2020;43000;95
96;28/02/2020;139130;96
97;11/03/2020;229100;97
98;10/03/2020;222450;98
99;16/03/2020;147500;99
100;10/03/2020;440000;100
101;02/03/2020;495000;101
102;11/03/2020;510000;102
103;27/03/2020;170000;103
104;03/03/2020;251500;104
105;19/03/2020;98000;105
106;25/03/2020;132300;106
107;10/03/2020;126000;107
108;16/03/2020;131500;108
109;12/03/2020;266960;109
110;31/03/2020;114500;110
111;11/03/2020;181970;111
112;19/03/2020;70000;112
113;01/04/2020;45000;113
114;07/04/2020;375000;114
115;18/03/2020;247000;115
116;16/03/2020;16300;116
117;16/03/2020;60000;117
118;31/03/2020;164000;118
119;17/03/2020;93585;119
120;03/04/2020;210000;120
121;14/03/2020;120000;121
122;10/04/2020;50000;122
123;03/04/2020;174850;123
124;22/04/2020;223905;124
125;15/04/2020;540000;125
126;15/04/2020;230000;126
127;08/04/2020;445000;127
128;27/04/2020;44000;128
129;09/04/2020;145900;129
130;22/04/2020;57000;130
131;21/04/2020;138000;131
132;09/04/2020;190000;132
133;16/03/2020;182000;133
134;26/03/2020;271000;134
135;28/04/2020;114400;135
136;29/04/2020;98000;136
137;17/04/2020;505000;137
138;24/04/2020;289150;138
139;29/04/2020;104000;139
140;30/04/2020;245000;140
141;06/05/2020;115000;141
142;07/05/2020;483800;142
143;07/05/2020;185000;143
144;07/05/2020;188000;144
145;13/05/2020;185000;145
146;05/05/2020;162000;146
147;17/04/2020;76000;147
148;29/04/2020;367000;148
149;19/05/2020;324050;149
150;20/05/2020;170000;150
151;15/05/2020;79370;151
152;15/05/2020;69800;152
153;18/05/2020;54120;153
154;19/05/2020;116500;154
155;12/05/2020;136000;155
156;12/05/2020;234810;156
157;15/05/2020;410000;157
158;14/05/2020;205000;158
159;06/05/2020;294000;159
160;11/05/2020;620000;160
161;12/05/2020;230000;161
162;15/05/2020;469820;162
163;29/05/2020;371550;163
164;12/05/2020;315000;164
165;20/05/2020;82500;165
166;12/05/2020;439785;166
167;18/05/2020;65000;167
168;15/05/2020;469000;168
169;18/05/2020;161000;169
170;19/05/2020;513350;170
171;02/06/2020;83000;171
172;02/06/2020;471810;172
173;11/06/2020;220470;173
174;04/06/2020;243000;174
175;04/06/2020;100000;175
176;29/05/2020;193700;176
177;04/06/2020;100000;177
178;17/06/2020;595600;178
179;26/06/2020;225000;179
180;14/01/2020;106000;180
181;10/01/2020;203400;181
182;07/01/2020;212150;182
183;03/01/2020;102000;183
184;16/01/2020;150200;184
185;13/01/2020;129400;185
186;06/04/2020;130000;186
187;15/05/2020;84800;187
188;20/05/2020;282600;188
189;22/05/2020;145100;189
190;16/01/2020;87000;190
191;03/01/2020;142000;191
192;15/01/2020;66000;192
193;22/01/2020;71500;193
194;10/01/2020;68100;194
195;24/01/2020;58900;195
196;17/02/2020;37900;196
197;14/02/2020;70000;197
198;21/02/2020;112900;198
199;21/02/2020;39500;199
200;24/02/2020;39900;200
201;19/02/2020;78100;201
202;06/02/2020;37015;202
203;12/03/2020;93000;203
204;09/04/2020;35000;204
205;06/04/2020;42500;205
206;09/04/2020;88000;206
207;06/05/2020;80900;207
208;04/05/2020;34000;208
209;18/05/2020;84000;209
210;11/05/2020;90000;210
211;26/05/2020;81500;211
212;26/05/2020;27000;212
213;26/05/2020;20000;213
214;29/05/2020;137000;214
215;30/05/2020;44500;215
216;05/06/2020;75000;216
217;22/05/2020;44000;217
218;25/06/2020;32500;218
219;23/06/2020;35500;219
220;24/06/2020;365000;220
221;24/06/2020;55000;221
222;30/06/2020;29500;222
223;15/01/2020;370000;223
224;07/02/2020;41000;224
225;06/03/2020;107000;225
226;19/06/2020;68700;226
227;10/01/2020;290000;227
228;04/02/2020;57000;228
229;31/01/2020;274000;229
230;06/02/2020;39000;230
231;18/02/2020;102345;231
232;07/02/2020;63500;232
233;04/02/2020;181000;233
234;13/02/2020;125000;234
235;13/02/2020;59000;235
236;17/02/2020;63000;236
237;05/02/2020;90000;237
238;31/01/2020;110000;238
239;12/02/2020;81000;239
240;19/02/2020;67000;240
241;18/02/2020;30000;241
242;03/02/2020;79180;242
243;03/03/2020;55000;243
244;14/02/2020;97000;244
245;10/03/2020;44000;245
246;10/03/2020;82500;246
247;02/03/2020;230000;247
248;27/02/2020;13000;248
249;20/04/2020;103090;249
250;23/04/2020;95000;250
251;15/05/2020;36000;251
252;10/03/2020;100789;252
253;02/03/2020;76280;253
